# KKTC Bakanlar Kurulu Karari K(II)1195-2011 "Turkiye Petrolleri Anonim Ortakligi (TPAO)'nin Ruhsat Talebi", 22.9.2011
# KKTC Resmi Gazete Sayi 161, 22 Eylul 2011, EK IV Bolum I (Sayi 105), sayfa 1063-1066; tables AR/KKTC/A ... AR/KKTC/G
# https://basimevi.gov.ct.tr/Portals/6/2011/161.pdf  (retrieved 2026-09-13)
# Transcribed verbatim from the printed tables (scan; the PDF's OCR layer is unreliable and was NOT used).
# lat/lon: degrees-minutes-seconds with the seconds printed as SS"ss (e.g. 35°36'55"80''' = 35-36-55.80).
# x/y: the gazette's X (northing) and Y (easting) columns in metres, as printed; see build_kktc_licences.py for the grid check.
block,vertex,lat_dms,lon_dms,x_north,y_east
A,1,35-36-55.80,32-42-41.30,3941404.29,473868.82
A,2,35-30-02.88,32-42-41.30,3928682.95,473831.57
A,3,35-17-56.04,32-16-18.00,3906495.92,433777.47
A,4,35-33-09.58,32-16-18.00,3934640.50,433984.87
A,5,35-33-41.91,32-21-12.35,3935584.89,441402.49
A,6,35-33-47.28,32-31-50.80,3935659.24,457476.09
A,7,35-35-38.36,32-37-51.98,3939042.81,466581.33
B,1,35-39-42.12,32-55-33.96,3946492.57,493310.95
B,2,35-24-08.88,32-55-33.96,3917740.69,493289.39
B,3,35-11-04.53,32-42-41.30,3893613.67,473729.41
B,4,35-36-55.80,32-42-41.30,3941404.29,473868.82
C,1,35-43-27.48,34-00-00.00,3953894.01,590445.75
C,2,35-26-59.64,34-00-00.00,3923458.86,590754.91
C,3,35-24-08.88,32-55-33.96,3917740.69,493289.39
C,4,35-39-42.12,32-55-33.96,3946492.57,493310.95
C,5,35-39-53.68,32-56-36.62,3946847.66,494886.65
C,6,35-40-59.87,33-02-50.10,3948886.44,504275.68
C,7,35-40-55.19,33-10-19.71,3948754.87,515577.49
C,8,35-41-19.46,33-19-40.16,3949538.50,529662.85
C,9,35-40-58.55,33-23-18.54,3948914.34,535154.31
C,10,35-41-14.62,33-32-33.84,3949475.50,549109.96
C,11,35-41-45.87,33-38-16.03,3950490.05,557704.81
C,12,35-42-04.42,33-45-08.53,3951134.98,568067.71
C,13,35-42-29.67,33-53-00.87,3952011.85,579931.36
D,1,35-49-09.89,34-48-51.63,3965501.64,663910.28
D,2,35-42-05.04,34-35-48.84,3952068.36,644477.80
D,3,35-26-59.64,34-00-00.00,3923458.86,590754.91
D,4,35-43-27.48,34-00-00.00,3953894.01,590445.75
D,5,35-43-50.53,34-02-48.04,3954648.25,594660.15
D,6,35-45-06.63,34-06-06.90,3957047.69,599629.74
D,7,35-45-44.45,34-10-13.09,3958284.55,605799.21
D,8,35-48-11.90,34-14-21.39,3962904.44,611977.34
D,9,35-49-46.78,34-18-51.64,3965916.26,618721.48
D,10,35-51-41.52,34-24-51.49,3969577.57,627699.97
D,11,35-52-57.08,34-28-43.55,3971991.91,633485.45
D,12,35-54-25.61,34-33-30.51,3974831.69,640637.86
D,13,35-54-42.21,34-36-28.50,3975415.51,645091.48
D,14,35-54-06.98,34-40-56.92,3974443.29,651838.83
D,15,35-52-55.05,34-44-01.02,3972307.48,656493.76
D,16,35-51-19.93,34-46-40.60,3969448.34,660548.87
E,1,35-49-09.89,34-48-51.63,3965501.64,663910.28
E,2,35-12-09.60,34-48-51.63,3897087.96,665169.07
E,3,34-55-00.00,34-20-59.64,3864694.27,623314.75
E,4,35-05-45.60,34-17-34.80,3884515.25,617859.03
E,5,35-04-08.04,34-00-10.44,3881205.02,591445.13
E,6,35-42-05.04,34-35-48.84,3952068.36,644477.80
F,1,35-12-09.60,34-48-51.63,3897087.96,665169.07
F,2,34-41-20.40,34-47-56.40,3840088.21,664797.28
F,3,34-17-52.80,34-30-18.00,3796282.84,638508.21
F,4,34-10-00.00,34-20-00.00,3781497.95,622898.93
F,5,34-10-00.00,32-42-41.30,3780732.38,473406.01
F,6,34-25-58.80,32-42-41.30,3810265.17,473489.82
F,7,34-55-00.00,34-20-59.64,3864694.27,623314.75
G,1,34-10-00.00,34-20-00.00,3781497.95,622898.93
G,2,33-52-22.00,33-57-29.00,3748520.99,588611.53
G,3,33-39-14.40,33-36-57.60,3724020.90,557118.79
G,4,33-23-56.40,33-12-14.40,3695596.94,518971.43
G,5,33-16-37.20,32-42-41.30,3682089.48,473130.23
G,6,34-10-00.00,32-42-41.30,3780732.38,473406.01
