natural_earth,turkish,a3
Abu Dhabi,Abu Dabi,
Abu Kamal,Ebu Kemal,
Ad Diwaniyah,Divaniye,
Adapazarı,Adapazarı,
Afyon,Afyonkarahisar,
Ahvaz,Ahvaz,
Ajdabiya,Ajdabiya,
Al Amarah,Amara,
Al Aqabah,Akabe,
Al Fallujah,Felluce,
Al Hasakah,Haseke,
Al Hillah,Hille,IRQ
Al Karak,Kerek,
Al Khalil,El Halil,
Al Kut,Kut,
Al Qamishli,Kamışlı,
Aleppo,Halep,
Alexandria,İskenderiye,
Alexandroupoli,Dedeağaç,
Amman,Amman,
An Nasiriyah,Nasıriye,
Andijan,Andican,
Ar Ramadi,Ramadi,
Ar Raqqah,Rakka,
Arak,Erak,
Ardabil,Erdebil,
As Salt,Selt,
As Samawah,Semave,
As Sulaymaniyah,Süleymaniye,
As Suwayda,Süveyda,
Ashgabat,Aşkabat,
Aswan,Asvan,
Athens,Atina,
Atyrau,Atırau,
Az Zarqa,Zerka,
Baghdad,Bağdat,
Baku,Bakü,
Bandar-e Bushehr,Buşehr,
Bandar-e-Abbas,Bender Abbas,
Banghazi,Bingazi,
Banja Luka,Banya Luka,
Baqubah,Bakuba,
Basra,Basra,
Batumi,Batum,
Beer Sheva,Birüssebi,
Beirut,Beyrut,
Belgrade,Belgrad,
Berdyansk,Berdiansk,
Bitola,Manastır,
Bucharest,Bükreş,
Bukhara,Buhara,
Bur Said,Port Said,
Buraydah,Büreyde,
Burgas,Burgaz,
Cairo,Kahire,
Chalkida,Halkida,
Chișinău,Kişinev,
Constanța,Köstence,
Corum,Çorum,
Damascus,Şam,
Dammam,Dammam,
Dar'a,Dera,
Darnah,Derne,
Dayr az Zawr,Deyrizor,
Daşoguz,Taşavuz,
Derbent,Derbent,
Dobrich,Dobriç,
Doha,Doha,
Douma,Duma,
Dubai,Dubai,
Duhok,Dohuk,
Durrës,Draç,
Dushanbe,Duşanbe,
El Arish,Ariş,
Elbasan,Elbasan,
Elâzığ,Elazığ,
Famagusta,Gazimağusa,
Fargona,Fergana,
Ganca,Gence,
Gaza City,Gazze,
Giza,Giza,
Gorgan,Gürgan,
Grozny,Grozni,
Gyumri,Gümrü,
Haifa,Hayfa,
Hamadan,Hemedan,
Hamah,Hama,
